start,end,id,x_l,y_up,x_r,y_low,label
0,959,8,219,430,309,520,target_ball_con
959,960,8,219,430,309,520,target_ball_con
961,1061,8,223,430,313,520,target_ball_con
1062,1261,8,245,430,335,520,target_ball_con
1262,1462,8,275,430,365,520,target_ball_con
1463,1663,8,307,430,397,520,target_ball_con
1664,1864,8,340,430,430,520,target_ball_con
1865,2064,8,370,430,460,520,target_ball_con
2065,2265,8,400,430,490,520,target_ball_con
2266,2466,8,431,430,521,520,target_ball_con
2467,2667,8,460,430,550,520,target_ball_con
2668,2868,8,492,430,582,520,target_ball_con
2869,3068,8,519,430,609,520,target_ball_con
3069,3269,8,547,430,637,520,target_ball_con
3270,3470,8,576,430,666,520,target_ball_con
3471,13516,8,607,430,697,520,target_ball_con
13516,13516,8,607,430,697,520,target_ball_con
0,174,9,-23,430,67,520,launch_ball
174,175,9,-23,430,67,520,launch_ball
176,278,9,-19,430,71,520,launch_ball
279,378,9,-10,430,80,520,launch_ball
379,579,9,0,430,90,520,launch_ball
580,780,9,39,430,129,520,launch_ball
781,930,9,88,430,178,520,launch_ball
931,1412,9,138,430,228,520,launch_ball
1413,2412,9,139,430,229,520,launch_ball
2413,3798,9,148,430,238,520,launch_ball
3799,13516,9,156,430,246,520,launch_ball
13516,13516,9,156,430,246,520,launch_ball
0,978,10,549,430,639,520,target_ball_exp
978,979,10,549,430,639,520,target_ball_exp
980,1029,10,559,430,649,520,target_ball_exp
1030,1129,10,567,430,657,520,target_ball_exp
1130,1230,10,582,430,672,520,target_ball_exp
1231,1431,10,600,430,690,520,target_ball_exp
1432,1531,10,628,430,718,520,target_ball_exp
1532,1732,10,642,430,732,520,target_ball_exp
1733,1932,10,673,430,763,520,target_ball_exp
1933,2133,10,699,430,789,520,target_ball_exp
2134,2334,10,728,430,818,520,target_ball_exp
2335,2535,10,759,430,849,520,target_ball_exp
2536,2735,10,783,430,873,520,target_ball_exp
2736,2936,10,814,430,904,520,target_ball_exp
2937,3137,10,840,430,930,520,target_ball_exp
3138,3338,10,866,430,956,520,target_ball_exp
3339,3478,10,896,430,986,520,target_ball_exp
3479,13512,10,913,430,1003,520,target_ball_exp
13512,13512,10,913,430,1003,520,target_ball_exp
0,189,11,-23,430,67,520,launch_ball_hab
189,190,11,-23,430,67,520,launch_ball_hab
191,340,11,-18,430,72,520,launch_ball_hab
341,541,11,-3,430,87,520,launch_ball_hab
542,641,11,32,430,122,520,launch_ball_hab
642,842,11,57,430,147,520,launch_ball_hab
843,1042,11,111,430,201,520,launch_ball_hab
1043,1243,11,175,430,265,520,launch_ball_hab
1244,1444,11,234,430,324,520,launch_ball_hab
1445,1644,11,291,430,381,520,launch_ball_hab
1645,1845,11,348,430,438,520,launch_ball_hab
1846,2050,11,399,430,489,520,launch_ball_hab
2051,2250,11,455,430,545,520,launch_ball_hab
2251,2451,11,511,430,601,520,launch_ball_hab
2452,2662,11,559,430,649,520,launch_ball_hab
2663,2863,11,615,430,705,520,launch_ball_hab
2864,3063,11,663,430,753,520,launch_ball_hab
3064,3264,11,710,430,800,520,launch_ball_hab
3265,3465,11,759,430,849,520,launch_ball_hab
3466,3475,11,805,430,895,520,launch_ball_hab
3476,4504,11,807,430,897,520,launch_ball_hab
4504,4504,11,807,430,897,520,launch_ball_hab
